vax L=30 L=40 L=50 L=60 L=80 L=100
0.0200 0.1061 0.0007 0.0000 0.0000 0.0000 0.0000
0.0202 0.0957 0.0008 0.0000 0.0000 0.0000 0.0000
0.0204 0.0919 0.0007 0.0000 0.0000 0.0000 0.0000
0.0206 0.0772 0.0007 0.0000 0.0000 0.0000 0.0000
0.0208 0.0753 0.0006 0.0000 0.0000 0.0000 0.0000
0.0210 0.0707 0.0005 0.0000 0.0000 0.0000 0.0000
0.0212 0.0565 0.0005 0.0000 0.0000 0.0000 0.0000
0.0214 0.0568 0.0003 0.0000 0.0000 0.0000 0.0000
0.0216 0.0506 0.0001 0.0000 0.0000 0.0000 0.0000
0.0218 0.0456 0.0001 0.0000 0.0000 0.0000 0.0000
0.0220 0.0457 0.0000 0.0000 0.0000 0.0000 0.0000
