0 9999 0 1 0
1 9999 0 1 0
2 9998 1 1 0
3 9998 1 1 0
4 9998 1 1 0
5 9998 1 1 0
6 9997 2 1 0
7 9997 2 1 0
8 9997 2 1 0
9 9997 1 2 0
10 9995 2 3 0
11 9994 2 3 1
12 9993 3 3 1
13 9993 2 2 3
14 9990 4 3 3
15 9989 5 2 4
16 9989 5 2 4
17 9989 5 1 5
18 9989 4 1 6
19 9989 3 1 7
20 9989 3 1 7
21 9989 1 3 7
22 9988 2 3 7
23 9988 2 3 7
24 9987 3 3 7
25 9985 5 3 7
26 9985 5 2 8
27 9984 5 3 8
28 9984 5 3 8
29 9984 4 3 9
30 9983 5 2 10
31 9983 3 3 11
32 9983 2 1 14
33 9983 2 1 14
34 9983 1 2 14
35 9981 3 2 14
36 9980 3 2 15
37 9979 4 2 15
38 9978 5 2 15
39 9977 6 2 15
40 9977 6 2 15
41 9976 5 4 15
42 9973 7 5 15
43 9973 6 5 16
44 9972 5 7 16
45 9966 10 8 16
46 9965 10 7 18
47 9963 11 5 21
48 9962 10 6 22
49 9959 11 7 23
50 9955 13 8 24
51 9953 11 8 28
52 9951 11 8 30
53 9948 13 7 32
54 9947 12 8 33
55 9942 15 9 34
56 9938 14 14 34
57 9935 13 16 36
58 9932 12 17 39
59 9929 13 14 44
60 9922 20 10 48
61 9920 20 11 49
62 9918 18 15 49
63 9915 18 18 49
64 9911 20 17 52
65 9905 24 14 57
66 9901 22 14 63
67 9896 24 12 68
68 9892 23 12 73
69 9886 26 14 74
70 9879 28 13 80
71 9878 26 14 82
72 9875 22 16 87
73 9866 26 17 91
74 9863 28 17 92
75 9858 25 21 96
76 9853 23 19 105
77 9843 27 21 109
78 9842 20 27 111
79 9835 24 29 112
80 9826 28 30 116
81 9809 37 35 119
82 9800 42 33 125
83 9792 40 38 130
84 9785 40 37 138
85 9773 44 38 145
86 9764 43 37 156
87 9757 45 40 158
88 9746 51 40 163
89 9736 52 46 166
90 9728 51 48 173
91 9718 54 44 184
92 9712 52 37 199
93 9709 45 43 203
94 9699 50 43 208
95 9694 45 47 214
96 9689 43 50 218
97 9680 43 46 231
98 9669 40 54 237
99 9654 47 57 242
100 9644 49 57 250
101 9635 44 62 259
102 9624 48 53 275
103 9609 54 49 288
104 9594 59 48 299
105 9590 52 53 305
106 9575 52 58 315
107 9566 54 51 329
108 9555 54 52 339
109 9543 54 57 346
110 9532 48 66 354
111 9519 53 61 367
112 9511 50 62 377
113 9499 53 59 389
114 9487 55 57 401
115 9475 53 59 413
116 9461 55 62 422
117 9450 48 66 436
118 9433 52 68 447
119 9416 54 75 455
120 9404 54 71 471
121 9393 51 75 481
122 9378 50 77 495
123 9366 51 83 500
124 9355 54 75 516
125 9334 64 74 528
126 9320 67 77 536
127 9309 68 76 547
128 9295 61 85 559
129 9270 76 77 577
130 9257 71 78 594
131 9242 69 82 607
132 9224 65 86 625
133 9197 76 82 645
134 9178 81 78 663
135 9158 82 85 675
136 9143 85 81 691
137 9133 82 84 701
138 9114 82 89 715
139 9100 83 87 730
140 9081 83 96 740
141 9065 84 98 753
142 9052 82 93 773
143 9033 87 96 784
144 9015 93 88 804
145 9002 90 85 823
146 8986 87 90 837
147 8970 80 94 856
148 8953 79 95 873
149 8932 77 96 895
150 8917 75 99 909
151 8897 82 92 929
152 8883 86 83 948
153 8871 79 80 970
154 8859 81 78 982
155 8838 74 90 998
156 8825 67 93 1015
157 8806 70 92 1032
158 8791 73 87 1049
159 8772 73 97 1058
160 8757 75 92 1076
161 8742 75 91 1092
162 8724 76 93 1107
163 8711 78 85 1126
164 8686 82 92 1140
165 8668 86 94 1152
166 8641 84 104 1171
167 8626 91 85 1198
168 8607 92 87 1214
169 8587 94 95 1224
170 8566 90 107 1237
171 8543 95 117 1245
172 8525 91 123 1261
173 8504 96 120 1280
174 8474 98 126 1302
175 8458 92 123 1327
176 8435 98 117 1350
177 8412 104 114 1370
