0 9999 0 1 0
1 9997 2 1 0
2 9996 3 1 0
3 9996 3 1 0
4 9995 2 3 0
5 9995 1 4 0
6 9992 3 5 0
7 9992 3 2 3
8 9992 3 2 3
9 9991 3 1 5
10 9991 3 1 5
11 9990 4 1 5
12 9989 5 1 5
13 9989 5 1 5
14 9987 6 2 5
15 9986 6 2 6
16 9986 5 2 7
17 9985 6 2 7
18 9985 5 3 7
19 9983 7 2 8
20 9982 6 3 9
21 9981 6 4 9
22 9978 8 4 10
23 9977 9 4 10
24 9977 9 4 10
25 9975 9 6 10
26 9975 7 7 11
27 9974 7 8 11
28 9973 6 8 13
29 9971 7 8 14
30 9968 8 7 17
31 9964 9 9 18
32 9963 7 7 23
33 9962 6 9 23
34 9960 8 7 25
35 9959 8 5 28
36 9957 9 6 28
37 9953 10 7 30
38 9950 12 8 30
39 9949 10 10 31
40 9943 15 11 31
41 9940 17 11 32
42 9936 17 13 34
43 9933 17 14 36
44 9928 19 16 37
45 9926 17 18 39
46 9919 19 21 41
47 9913 21 21 45
48 9912 17 22 49
49 9907 20 19 54
50 9903 20 18 59
51 9900 18 16 66
52 9898 17 14 71
53 9896 14 18 72
54 9893 14 18 75
55 9890 16 13 81
56 9885 16 16 83
57 9883 14 16 87
58 9876 17 15 92
59 9868 22 17 93
60 9860 27 15 98
61 9852 26 20 102
62 9847 25 19 109
63 9845 25 16 114
64 9840 27 15 118
65 9837 26 16 121
66 9835 22 20 123
67 9832 24 16 128
68 9830 21 17 132
69 9824 16 21 139
70 9820 18 18 144
71 9813 22 17 148
72 9807 20 22 151
73 9804 20 22 154
74 9797 21 26 156
75 9788 26 27 159
76 9781 28 30 161
77 9774 27 34 165
78 9767 32 31 170
79 9761 34 32 173
80 9757 33 32 178
81 9749 34 35 182
82 9737 38 37 188
83 9723 44 42 191
84 9715 44 43 198
85 9705 43 50 202
86 9694 44 48 214
87 9684 44 49 223
88 9672 48 47 233
89 9666 46 50 238
90 9651 54 47 248
91 9646 48 48 258
92 9638 44 55 263
93 9630 42 58 270
94 9625 39 58 278
95 9615 42 59 284
96 9606 46 55 293
97 9595 45 60 300
98 9583 47 63 307
99 9573 45 64 318
100 9559 52 55 334
101 9543 58 61 338
102 9535 57 58 350
103 9523 58 58 361
104 9514 55 62 369
105 9501 58 60 381
106 9490 59 58 393
107 9481 53 60 406
108 9469 53 58 420
109 9457 57 54 432
110 9446 54 59 441
111 9431 63 55 451
112 9424 56 59 461
113 9413 58 62 467
114 9399 62 59 480
115 9387 66 54 493
116 9381 62 55 502
117 9367 66 57 510
118 9352 66 61 521
119 9334 70 68 528
120 9316 77 64 543
121 9308 68 71 553
122 9295 74 64 567
123 9286 65 73 576
124 9276 61 74 589
125 9271 59 71 599
126 9256 65 67 612
127 9246 62 68 624
128 9230 61 71 638
129 9216 65 66 653
130 9202 60 74 664
131 9188 64 74 674
132 9182 57 74 687
133 9171 57 68 704
134 9153 60 73 714
135 9140 63 67 730
136 9128 68 60 744
137 9116 60 64 760
138 9103 65 60 772
139 9093 64 62 781
140 9074 73 63 790
141 9062 68 69 801
142 9053 66 69 812
143 9039 66 71 824
144 9024 68 71 837
145 9011 73 69 847
146 8998 71 68 863
147 8982 73 70 875
148 8969 71 73 887
149 8954 74 72 900
150 8940 71 75 914
151 8929 66 74 931
152 8914 66 78 942
153 8900 63 73 964
154 8881 72 60 987
155 8865 70 64 1001
156 8850 69 70 1011
157 8830 68 85 1017
158 8812 75 79 1034
159 8790 80 79 1051
160 8784 72 85 1059
161 8771 72 83 1074
162 8752 83 73 1092
163 8738 81 81 1100
164 8724 74 87 1115
165 8709 71 88 1132
166 8688 78 93 1141
167 8674 79 90 1157
168 8653 84 83 1180
169 8639 80 89 1192
170 8625 80 90 1205
171 8605 86 93 1216
172 8588 87 99 1226
173 8569 87 107 1237
174 8547 87 108 1258
175 8529 89 103 1279
176 8507 85 108 1300
177 8496 82 104 1318
178 8479 83 105 1333
179 8464 74 108 1354
180 8442 83 102 1373
181 8413 92 105 1390
182 8397 91 102 1410
183 8379 88 105 1428
184 8366 85 107 1442
185 8357 69 118 1456
186 8326 89 107 1478
187 8312 95 94 1499
188 8300 82 103 1515
189 8282 88 97 1533
190 8266 85 101 1548
191 8242 93 100 1565
192 8226 95 95 1584
193 8207 93 102 1598
