0 9999 0 1 0
1 9998 1 1 0
2 9998 1 1 0
3 9996 3 1 0
4 9996 3 1 0
5 9996 2 2 0
6 9995 3 2 0
7 9994 3 2 1
8 9992 4 3 1
9 9990 6 2 2
10 9990 5 3 2
11 9989 4 4 3
12 9989 4 4 3
13 9988 4 4 4
14 9986 5 3 6
15 9986 4 3 7
16 9985 5 3 7
17 9983 7 2 8
18 9982 8 2 8
19 9980 9 3 8
20 9980 8 4 8
21 9980 6 6 8
22 9978 7 6 9
23 9974 10 6 10
24 9973 10 7 10
25 9971 9 7 13
26 9969 11 5 15
27 9965 12 8 15
28 9964 12 7 17
29 9963 12 7 18
30 9962 11 8 19
31 9960 12 7 21
32 9958 13 7 22
33 9956 11 8 25
34 9955 9 8 28
35 9954 8 9 29
36 9952 7 8 33
37 9948 9 8 35
38 9947 8 9 36
39 9947 8 9 36
40 9944 8 11 37
41 9941 11 8 40
42 9939 12 7 42
43 9937 14 7 42
44 9935 13 9 43
45 9932 14 10 44
46 9926 18 7 49
47 9925 17 8 50
48 9923 17 7 53
49 9921 16 8 55
50 9918 16 9 57
51 9916 17 10 57
52 9912 19 11 58
53 9907 21 14 58
54 9906 19 14 61
55 9906 17 13 64
56 9905 15 14 66
57 9904 14 13 69
58 9903 13 12 72
59 9900 13 13 74
60 9897 14 11 78
61 9893 14 11 82
62 9891 15 9 85
63 9891 13 8 88
64 9888 13 11 88
65 9884 15 12 89
66 9877 19 15 89
67 9873 20 16 91
68 9867 23 16 94
69 9865 21 17 97
70 9859 20 24 97
71 9854 21 25 100
72 9850 22 25 103
73 9843 25 22 110
74 9835 28 25 112
75 9829 28 24 119
76 9826 26 23 125
77 9820 26 27 127
78 9813 30 29 128
79 9807 31 29 133
80 9804 31 26 139
81 9797 32 25 146
82 9794 30 23 153
83 9791 27 23 159
84 9778 29 29 164
85 9771 28 36 165
86 9758 32 37 173
87 9753 30 37 180
88 9744 30 39 187
89 9734 36 36 194
90 9728 38 33 201
91 9723 33 33 211
92 9712 36 34 218
93 9704 37 36 223
94 9696 36 43 225
95 9688 32 49 231
96 9676 38 45 241
97 9665 38 51 246
98 9658 36 55 251
99 9645 42 57 256
100 9632 49 55 264
101 9621 53 54 272
102 9616 46 53 285
103 9605 51 51 293
104 9596 55 46 303
105 9587 52 52 309
106 9578 49 53 320
107 9567 51 56 326
108 9553 53 62 332
109 9533 61 61 345
110 9520 66 57 357
111 9512 65 50 373
112 9498 65 55 382
113 9481 71 55 393
114 9472 71 55 402
115 9463 67 57 413
116 9454 62 63 421
117 9439 64 70 427
118 9428 57 74 441
119 9421 55 66 458
120 9415 51 66 468
121 9405 51 70 474
122 9389 56 72 483
123 9369 61 74 496
124 9356 61 80 503
125 9334 67 78 521
126 9314 76 71 539
127 9302 79 70 549
128 9289 74 74 563
129 9273 76 74 577
130 9257 80 70 593
131 9239 83 74 604
132 9222 84 76 618
133 9209 78 77 636
134 9194 79 70 657
135 9183 72 73 672
136 9170 74 70 686
137 9159 73 71 697
138 9143 69 78 710
139 9126 70 82 722
140 9116 62 87 735
141 9109 52 86 753
142 9092 58 88 762
143 9083 55 77 785
144 9071 56 75 798
145 9056 59 78 807
146 9048 57 76 819
147 9037 53 76 834
148 9023 58 71 848
149 9004 69 66 861
150 8992 66 73 869
151 8979 65 77 879
152 8971 55 71 903
153 8961 57 64 918
154 8952 51 68 929
155 8934 53 67 946
156 8927 50 62 961
157 8911 56 64 969
158 8902 53 66 979
159 8892 50 67 991
160 8872 55 68 1005
161 8859 54 70 1017
162 8848 55 70 1027
163 8835 57 74 1034
164 8827 51 74 1048
165 8816 54 70 1060
166 8808 52 65 1075
167 8800 49 66 1085
168 8784 54 66 1096
169 8769 56 73 1102
170 8752 59 71 1118
171 8740 56 72 1132
172 8723 64 71 1142
173 8704 67 77 1152
174 8694 64 75 1167
175 8683 56 78 1183
176 8669 58 74 1199
177 8653 62 76 1209
178 8640 57 83 1220
179 8628 52 82 1238
180 8618 58 75 1249
181 8594 65 80 1261
182 8582 65 80 1273
183 8570 67 75 1288
184 8556 67 81 1296
185 8545 65 82 1308
186 8533 61 79 1327
187 8521 53 82 1344
188 8501 60 76 1363
189 8485 67 72 1376
190 8460 79 70 1391
191 8437 87 73 1403
192 8420 93 71 1416
193 8406 96 67 1431
194 8389 92 72 1447
195 8377 92 74 1457
196 8360 94 79 1467
197 8344 95 83 1478
198 8326 98 85 1491
199 8301 104 92 1503
200 8285 103 96 1516
201 8265 105 98 1532
202 8242 109 100 1549
203 8222 102 110 1566
204 8200 108 103 1589
205 8181 105 103 1611
206 8165 109 98 1628
207 8143 103 101 1653
208 8127 86 113 1674
209 8094 105 109 1692
210 8067 118 103 1712
211 8047 117 102 1734
212 8028 112 104 1756
213 8007 115 101 1777
214 7981 118 106 1795
215 7944 119 118 1819
216 7919 124 121 1836
217 7897 126 124 1853
218 7872 128 111 1889
219 7853 125 115 1907
220 7829 121 130 1920
221 7796 123 138 1943
222 7764 136 132 1968
223 7734 136 142 1988
224 7701 129 157 2013
225 7678 124 152 2046
226 7648 131 144 2077
227 7612 136 148 2104
228 7587 133 148 2132
229 7556 132 155 2157
230 7530 134 151 2185
231 7511 127 144 2218
232 7494 124 147 2235
233 7462 129 139 2270
234 7437 125 138 2300
235 7403 128 143 2326
236 7383 128 141 2348
237 7361 133 137 2369
238 7335 134 140 2391
239 7313 126 150 2411
240 7281 138 144 2437
241 7251 143 144 2462
242 7221 144 149 2486
243 7197 144 157 2502
244 7165 151 152 2532
245 7134 156 150 2560
246 7100 157 156 2587
247 7067 155 163 2615
248 7034 160 166 2640
249 6999 162 169 2670
250 6971 160 167 2702
251 6946 157 161 2736
252 6921 155 162 2762
253 6879 163 174 2784
254 6847 151 193 2809
255 6813 159 188 2840
256 6783 155 174 2888
257 6751 148 174 2927
258 6730 131 178 2961
259 6703 129 173 2995
260 6677 132 168 3023
261 6645 132 169 3054
262 6622 130 162 3086
263 6600 130 162 3108
264 6583 122 160 3135
265 6546 129 166 3159
266 6532 118 159 3191
267 6516 114 149 3221
268 6490 118 148 3244
269 6463 118 157 3262
270 6434 124 160 3282
271 6415 118 148 3319
272 6387 121 138 3354
273 6364 124 137 3375
274 6333 125 143 3399
275 6304 132 140 3424
276 6276 141 139 3444
277 6253 134 151 3462
278 6223 135 155 3487
279 6189 135 157 3519
280 6158 140 165 3537
281 6133 136 163 3568
282 6101 137 166 3596
283 6074 135 164 3627
284 6046 140 154 3660
285 6019 137 167 3677
286 5982 148 157 3713
287 5951 148 155 3746
288 5923 154 142 3781
289 5899 148 139 3814
290 5873 146 139 3842
291 5843 141 145 3871
292 5806 135 163 3896
293 5774 139 153 3934
294 5745 143 143 3969
295 5715 145 142 3998
296 5681 151 149 4019
297 5646 162 153 4039
298 5612 160 158 4070
299 5575 159 167 4099
300 5549 158 165 4128
301 5516 160 157 4167
302 5479 157 174 4190
303 5449 164 169 4218
304 5423 160 168 4249
305 5388 171 167 4274
306 5361 161 178 4300
307 5335 161 170 4334
308 5312 152 172 4364
309 5287 144 168 4401
310 5269 134 172 4425
311 5235 144 163 4458
312 5213 139 155 4493
313 5191 136 154 4519
314 5166 142 148 4544
315 5142 136 154 4568
316 5113 139 160 4588
317 5089 138 150 4623
318 5060 141 148 4651
319 5026 138 158 4678
320 4995 137 155 4713
321 4963 140 156 4741
322 4936 142 161 4761
323 4898 154 151 4797
324 4867 153 165 4815
325 4846 149 161 4844
326 4810 161 157 4872
327 4779 166 163 4892
328 4749 163 168 4920
329 4717 166 171 4946
330 4679 164 181 4976
331 4655 159 186 5000
332 4629 162 183 5026
333 4598 161 182 5059
334 4560 166 187 5087
335 4518 171 190 5121
336 4482 179 180 5159
337 4443 183 186 5188
338 4414 187 189 5210
339 4366 195 196 5243
340 4332 194 194 5280
341 4299 180 201 5320
342 4257 170 208 5365
343 4215 175 214 5396
344 4163 188 218 5431
345 4120 182 219 5479
346 4081 185 222 5512
347 4040 184 225 5551
348 3992 197 224 5587
349 3948 203 216 5633
350 3916 199 207 5678
351 3879 198 204 5719
352 3847 194 208 5751
353 3807 197 208 5788
354 3771 191 208 5830
355 3732 190 205 5873
356 3691 183 216 5910
357 3644 192 215 5949
358 3608 187 221 5984
359 3568 185 218 6029
360 3535 181 223 6061
361 3498 187 220 6095
362 3465 175 223 6137
363 3429 176 221 6174
364 3390 175 223 6212
365 3351 179 221 6249
366 3305 188 218 6289
367 3266 196 214 6324
368 3225 193 214 6368
369 3181 196 209 6414
370 3141 188 211 6460
371 3102 188 210 6500
372 3068 177 210 6545
373 3044 165 205 6586
374 3002 180 202 6616
375 2960 180 223 6637
376 2922 185 215 6678
377 2886 179 220 6715
378 2845 197 212 6746
379 2811 194 211 6784
380 2777 178 212 6833
381 2744 179 202 6875
382 2702 194 204 6900
383 2664 193 203 6940
384 2633 188 201 6978
385 2600 179 197 7024
386 2564 185 198 7053
387 2535 182 187 7096
388 2501 176 193 7130
389 2467 164 200 7169
390 2434 162 194 7210
391 2391 161 200 7248
392 2361 158 196 7285
393 2321 167 194 7318
394 2299 157 183 7361
395 2273 151 183 7393
396 2244 144 190 7422
397 2212 136 194 7458
398 2173 138 197 7492
399 2135 144 191 7530
400 2101 147 181 7571
401 2068 147 193 7592
402 2032 147 196 7625
403 1997 151 193 7659
404 1964 148 191 7697
405 1942 141 185 7732
406 1913 133 185 7769
407 1870 149 182 7799
408 1839 149 171 7841
409 1801 159 172 7868
410 1764 163 176 7897
411 1724 166 179 7931
412 1697 158 166 7979
413 1663 159 169 8009
414 1625 166 170 8039
415 1592 169 172 8067
416 1566 169 168 8097
417 1539 161 167 8133
418 1515 147 172 8166
419 1489 148 177 8186
420 1463 147 175 8215
421 1434 145 178 8243
422 1399 161 164 8276
423 1376 156 163 8305
424 1353 146 166 8335
425 1323 139 170 8368
426 1300 128 176 8396
427 1272 122 170 8436
428 1248 130 161 8461
429 1226 124 162 8488
430 1205 117 166 8512
431 1181 122 156 8541
432 1162 115 152 8571
433 1142 112 148 8598
434 1121 115 148 8616
435 1106 114 145 8635
436 1091 115 131 8663
437 1077 114 124 8685
438 1058 112 122 8708
439 1045 107 117 8731
440 1030 93 126 8751
441 1013 87 126 8774
442 991 91 125 8793
443 974 90 117 8819
444 958 86 115 8841
445 941 85 118 8856
446 929 78 111 8882
447 918 75 108 8899
448 905 70 110 8915
449 893 69 101 8937
450 879 65 102 8954
451 866 61 99 8974
452 852 63 95 8990
453 842 64 86 9008
454 827 62 84 9027
455 814 67 77 9042
456 803 65 71 9061
457 799 57 68 9076
458 788 54 74 9084
459 772 56 75 9097
460 763 51 76 9110
461 756 50 67 9127
462 751 48 61 9140
463 742 51 62 9145
464 734 50 59 9157
465 727 47 60 9166
466 724 46 58 9172
467 716 44 58 9182
468 708 45 52 9195
469 701 44 53 9202
470 691 43 59 9207
471 683 43 60 9214
472 678 40 61 9221
473 667 39 64 9230
474 658 41 59 9242
475 649 44 58 9249
476 639 39 63 9259
477 627 45 61 9267
478 620 44 56 9280
479 614 37 55 9294
480 602 37 58 9303
481 595 38 58 9309
482 592 35 53 9320
483 583 35 50 9332
484 578 36 44 9342
485 571 35 44 9350
486 568 29 47 9356
487 565 26 46 9363
488 559 23 50 9368
489 554 20 47 9379
490 550 19 37 9394
491 549 18 34 9399
492 545 19 30 9406
493 545 15 25 9415
494 544 13 25 9418
495 543 12 25 9420
496 542 11 19 9428
497 542 8 13 9437
498 542 7 13 9438
499 541 7 13 9439
500 537 10 12 9441
501 535 9 14 9442
502 534 9 14 9443
503 533 7 16 9444
504 531 8 14 9447
505 530 7 12 9451
506 529 8 9 9454
507 527 8 8 9457
508 527 8 7 9458
509 527 6 8 9459
510 525 7 6 9462
511 525 7 6 9462
512 525 6 7 9462
513 525 6 5 9464
514 525 6 4 9465
515 525 4 5 9466
516 524 5 4 9467
517 524 4 3 9469
518 523 4 4 9469
519 522 3 6 9469
520 521 4 4 9471
521 521 4 4 9471
522 519 5 4 9472
523 519 5 3 9473
524 518 4 5 9473
525 516 5 6 9473
526 515 6 5 9474
527 515 6 4 9475
528 515 5 4 9476
529 515 5 4 9476
530 515 4 5 9476
531 515 3 4 9478
532 515 3 4 9478
533 515 3 3 9479
534 515 2 4 9479
535 515 1 4 9480
536 514 0 5 9481
537 514 0 4 9482
538 514 0 4 9482
539 514 0 4 9482
540 514 0 4 9482
541 514 0 3 9483
542 514 0 3 9483
543 514 0 3 9483
544 514 0 3 9483
545 514 0 3 9483
546 514 0 2 9484
547 514 0 1 9485
548 514 0 1 9485
549 514 0 1 9485
550 514 0 1 9485
551 514 0 1 9485
552 514 0 1 9485
553 514 0 1 9485
554 514 0 1 9485
555 514 0 0 9486
556 514 0 0 9486
557 514 0 0 9486
558 514 0 0 9486
559 514 0 0 9486
560 514 0 0 9486
561 514 0 0 9486
562 514 0 0 9486
563 514 0 0 9486
564 514 0 0 9486
565 514 0 0 9486
566 514 0 0 9486
567 514 0 0 9486
568 514 0 0 9486
569 514 0 0 9486
570 514 0 0 9486
571 514 0 0 9486
572 514 0 0 9486
573 514 0 0 9486
574 514 0 0 9486
575 514 0 0 9486
576 514 0 0 9486
