0 9639 40 0 40 0
1 9532 55 24 68 40
2 9421 91 44 99 64
3 9292 134 69 125 99
4 9107 187 120 168 137
5 8778 276 195 260 210
6 8336 414 281 387 301
7 7751 557 395 566 450
8 7135 746 506 741 591
9 6333 977 707 938 764
10 5493 1168 904 1200 954
11 4568 1375 1139 1449 1188
12 3686 1600 1356 1662 1415
13 2905 1801 1533 1864 1616
14 2274 1986 1673 2000 1786
15 1743 2067 1875 2091 1943
16 1380 2126 2010 2189 2014
17 1069 2176 2112 2227 2135
18 850 2249 2151 2311 2158
19 685 2267 2203 2356 2208
20 563 2259 2266 2366 2265
21 468 2255 2314 2347 2335
22 414 2196 2399 2345 2365
23 355 2222 2399 2365 2378
24 321 2242 2390 2319 2447
25 283 2211 2441 2331 2453
26 255 2213 2452 2308 2491
27 236 2214 2463 2322 2484
28 215 2229 2458 2346 2471
29 198 2263 2431 2337 2490
30 182 2275 2426 2375 2461
31 163 2225 2487 2347 2497
32 152 2275 2442 2341 2509
33 138 2294 2432 2335 2520
34 130 2249 2481 2316 2543
35 125 2291 2442 2286 2575
36 119 2325 2413 2321 2541
37 108 2291 2450 2343 2527
38 98 2305 2442 2365 2509
39 93 2303 2448 2335 2540
40 89 2253 2499 2340 2538
41 87 2279 2473 2339 2541
42 83 2273 2481 2345 2537
43 79 2244 2512 2343 2541
44 76 2229 2528 2371 2515
45 70 2217 2542 2414 2476
46 66 2258 2504 2368 2523
47 66 2247 2515 2387 2504
48 64 2230 2533 2384 2508
49 59 2201 2564 2358 2537
50 56 2175 2592 2361 2535
51 55 2217 2551 2368 2528
52 50 2237 2536 2384 2512
53 49 2231 2542 2362 2535
54 49 2226 2547 2321 2576
55 48 2204 2569 2269 2629
56 47 2236 2537 2287 2612
57 46 2200 2573 2324 2576
58 46 2162 2611 2283 2617
59 46 2137 2636 2307 2593
60 45 2107 2667 2285 2615
61 42 2133 2643 2309 2592
62 40 2145 2632 2321 2581
63 38 2146 2633 2324 2578
64 35 2149 2631 2297 2607
65 35 2142 2638 2311 2593
66 33 2141 2640 2290 2615
67 32 2160 2622 2307 2598
68 31 2141 2642 2332 2573
69 31 2151 2632 2356 2549
70 29 2159 2625 2354 2552
71 28 2159 2625 2340 2567
72 28 2182 2602 2315 2592
73 26 2188 2596 2297 2612
74 23 2180 2606 2288 2622
75 23 2161 2625 2315 2595
76 23 2184 2602 2291 2619
77 23 2172 2614 2263 2647
78 23 2197 2589 2280 2630
79 23 2168 2618 2243 2667
80 22 2182 2604 2206 2705
81 22 2195 2591 2230 2681
82 22 2136 2650 2236 2675
83 22 2161 2625 2257 2654
84 22 2158 2628 2245 2666
85 22 2142 2644 2245 2666
86 21 2143 2644 2220 2691
87 21 2117 2670 2242 2669
88 20 2120 2668 2231 2680
89 20 2121 2667 2212 2699
90 19 2120 2668 2203 2709
91 18 2158 2631 2212 2700
92 17 2149 2641 2204 2708
93 16 2168 2622 2183 2730
94 16 2085 2705 2196 2717
95 16 2109 2681 2254 2659
96 15 2077 2713 2242 2672
97 15 2086 2704 2234 2680
98 15 2068 2722 2227 2687
99 15 2089 2701 2246 2668
100 15 2093 2697 2242 2672
101 13 2116 2675 2261 2654
102 13 2113 2678 2268 2647
103 13 2137 2654 2307 2608
104 13 2144 2647 2323 2592
105 13 2173 2618 2311 2604
106 13 2158 2633 2304 2611
107 13 2188 2603 2265 2650
108 12 2214 2577 2295 2621
109 11 2163 2628 2263 2654
110 10 2178 2613 2231 2687
111 10 2110 2681 2239 2679
112 10 2135 2656 2211 2707
113 10 2114 2677 2247 2671
114 10 2126 2665 2261 2657
115 10 2147 2644 2263 2655
116 10 2153 2638 2279 2639
117 10 2127 2664 2286 2632
118 10 2141 2650 2281 2637
119 10 2124 2667 2290 2628
120 10 2109 2682 2289 2629
121 8 2125 2668 2278 2640
122 7 2118 2676 2251 2667
123 7 2087 2707 2246 2672
124 7 2066 2728 2266 2652
125 6 2108 2687 2289 2629
126 5 2120 2676 2242 2676
127 5 2124 2672 2257 2661
128 4 2129 2668 2235 2683
129 4 2108 2689 2220 2698
130 4 2087 2710 2234 2684
131 4 2093 2704 2251 2667
132 4 2112 2685 2284 2634
133 3 2078 2720 2253 2665
134 3 2113 2685 2241 2677
135 3 2119 2679 2229 2689
136 3 2148 2650 2265 2653
137 3 2101 2697 2284 2634
138 2 2100 2699 2262 2656
139 2 2103 2696 2275 2643
140 2 2123 2676 2268 2650
141 2 2126 2673 2302 2616
142 2 2106 2693 2318 2600
143 2 2114 2685 2304 2614
144 2 2100 2699 2317 2601
145 2 2075 2724 2304 2614
146 2 2073 2726 2279 2639
147 2 2086 2713 2292 2626
148 2 2106 2693 2261 2657
149 2 2123 2676 2237 2681
150 2 2129 2670 2219 2699
151 2 2132 2667 2254 2664
152 2 2070 2729 2290 2628
153 2 2058 2741 2319 2599
154 2 2050 2749 2301 2617
155 2 2075 2724 2294 2624
156 2 2084 2715 2309 2609
157 2 2095 2704 2326 2592
158 2 2091 2708 2281 2637
159 2 2122 2677 2269 2649
160 2 2149 2650 2270 2648
161 2 2143 2656 2272 2646
162 2 2128 2671 2298 2620
163 2 2143 2656 2266 2652
164 2 2148 2651 2268 2650
165 2 2129 2670 2273 2645
166 2 2144 2655 2257 2661
167 1 2163 2636 2276 2643
168 1 2211 2588 2257 2662
169 1 2194 2605 2236 2683
170 1 2206 2593 2280 2639
171 1 2190 2609 2283 2636
172 1 2181 2618 2280 2639
173 1 2190 2609 2261 2658
174 1 2196 2603 2277 2642
175 1 2192 2607 2240 2679
